#Stations within latitude (30.0, 50.0) and longitude (-126.0, -114.0)
#Net,Station,Lat,Long,Elev,Est.Thick,StdDev,Est.Vp/Vs,StdDev,AssumedVp,Vs,PoissonsRatio,NumEQ,Complexity
US,OCWA,47.75,-124.18,671 m,28.25 km,0.367 km,1.85,0.065,6.134 km/s,3.325 km/s,0.29,23,0.514
TA,T06C,37.01,-119.71,216 m,25.25 km,16.006 km,1.71,0.109,6.291 km/s,3.69 km/s,0.24,23,0.799
TA,109C,32.89,-117.11,150 m,22.75 km,14.732 km,2.07,0.197,6.264 km/s,3.022 km/s,0.35,31,0.785
XJ97,LMC,36.36,-119.03,211 m,38.25 km,5.217 km,1.87,0.088,6.291 km/s,3.364 km/s,0.30,6,0.625
CI,HEC,34.83,-116.33,0.9 km,28.25 km,0.163 km,1.82,0.011,6.276 km/s,3.458 km/s,0.28,33,0.214
XJ97,HVY,36.70,-119.32,193 m,37.75 km,8.637 km,1.79,0.098,6.291 km/s,3.51 km/s,0.27,6,0.448
XJ97,JUN,36.58,-118.41,2471 m,25.0 km,6.946 km,1.61,0.142,6.291 km/s,3.902 km/s,0.19,6,0.932
UW,OFR,47.93,-124.40,0.2 km,28.75 km,0.452 km,1.81,0.023,6.134 km/s,3.398 km/s,0.28,2,0.294
XF94,PINE,32.83,-116.53,3515 m,29.25 km,1.554 km,1.81,0.105,6.264 km/s,3.456 km/s,0.28,5,0.569
XF94,MICA,32.65,-116.12,3295 m,28.75 km,17.053 km,1.63,0.184,6.264 km/s,3.849 km/s,0.20,4,0.621
CI,DJJ,34.11,-118.46,268 m,27.0 km,1.081 km,1.71,0.038,6.1 km/s,3.572 km/s,0.24,149,0.644
TA,V03C,36.02,-121.24,336 m,27.5 km,5.894 km,1.67,0.057,6.391 km/s,3.821 km/s,0.22,8,0.646
CI,PAS,34.15,-118.17,314 m,25.0 km,6.27 km,1.82,0.103,6.1 km/s,3.361 km/s,0.28,177,0.570
AZ,RDM,33.63,-116.85,1365 m,32.25 km,0.164 km,1.83,0.010,6.264 km/s,3.427 km/s,0.29,140,0.424
TA,R04C,38.26,-120.94,115 m,39.0 km,2.771 km,1.89,0.121,6.597 km/s,3.495 km/s,0.30,39,0.682
CI,JCS,33.09,-116.60,1264 m,35.0 km,0.139 km,1.78,0.007,6.264 km/s,3.524 km/s,0.27,173,0.569
TA,S04C,37.51,-121.33,310 m,34.25 km,7.32 km,1.60,0.070,6.391 km/s,3.994 km/s,0.18,11,0.726
AZ,SMER2,33.46,-117.17,355 m,33.25 km,0.228 km,1.78,0.040,6.264 km/s,3.524 km/s,0.27,2,0.293
US,TPNV,36.95,-116.25,1600 m,34.0 km,7.992 km,1.94,0.100,6.279 km/s,3.236 km/s,0.32,53,0.751
XJ97,BRR,36.91,-119.04,1259 m,32.0 km,13.551 km,1.70,0.102,6.291 km/s,3.701 km/s,0.24,9,0.818
CI,SCZ2,34.00,-119.64,440 m,43.25 km,3.341 km,1.61,0.063,6.048 km/s,3.762 km/s,0.18,12,0.640
CI,IRM,34.16,-115.15,0.6 km,27.25 km,0.32 km,1.77,0.054,6.276 km/s,3.541 km/s,0.27,32,0.359
CI,FUR,36.47,-116.86,-0.0 km,40.0 km,6.676 km,1.64,0.106,6.279 km/s,3.823 km/s,0.21,26,0.674
XN00,DBLT,35.96,-120.58,744 m,26.75 km,13.279 km,1.72,0.113,6.183 km/s,3.595 km/s,0.24,3,0.770
AZ,ASBS,33.62,-116.47,1400 m,29.25 km,0.421 km,1.77,0.033,6.264 km/s,3.544 km/s,0.26,24,0.353
XN00,MOH9,35.97,-120.57,672 m,48.75 km,14.61 km,1.92,0.120,6.183 km/s,3.224 km/s,0.31,4,0.698
TA,U04C,36.36,-120.78,813 m,30.5 km,6.046 km,1.98,0.107,6.391 km/s,3.236 km/s,0.33,5,0.590
US,HLID,43.56,-114.41,1772 m,41.75 km,0.421 km,1.68,0.011,6.291 km/s,3.75 km/s,0.22,108,0.460
CT,FERN,37.15,-121.81,518 m,25.75 km,13.123 km,1.60,0.124,6.391 km/s,3.994 km/s,0.18,20,0.627
IM,NV31,38.43,-118.15,1585 m,33.0 km,1.27 km,1.80,0.025,6.279 km/s,3.488 km/s,0.28,6,0.243
CI,PLM,33.35,-116.86,1691 m,28.5 km,1.011 km,2.00,0.030,6.264 km/s,3.132 km/s,0.33,219,0.548
AZ,BZN,33.49,-116.67,1301 m,31.25 km,0.233 km,1.70,0.014,6.264 km/s,3.679 km/s,0.24,79,0.211
CI,GLA,33.05,-114.83,610 m,27.0 km,0.143 km,1.67,0.008,6.155 km/s,3.685 km/s,0.22,203,0.155
CI,RRX,34.88,-117.00,0.4 km,31.75 km,2.462 km,1.81,0.053,6.276 km/s,3.472 km/s,0.28,25,0.394
TA,M05C,41.36,-121.15,1333 m,26.5 km,3.0 km,2.10,0.077,6.566 km/s,3.13 km/s,0.35,13,0.611
